operation_id,robot_id,zone_id,timestamp,operation_type,duration_seconds,items_processed,distance_traveled_m,battery_start_pct,battery_end_pct,avg_speed_mps,payload_weight_kg,success_flag,error_code,shift,operator_id,priority_level,ambient_temp_c,ambient_humidity_pct,collision_count
84646171,345017,220452,2023-12-19 12:13:47,Place,255,123,52.03,34,15,2.03,11.35,1,NONE,Afternoon,7600,3,30.1,59,0
88395256,433717,246274,2024-08-16 00:37:32,Charge,1303,5,45.42,32,21,2.44,0.52,1,NONE,Night,4044,4,27.0,89,0
87723919,590503,209294,2023-04-07 06:23:24,Place,844,110,259.2,83,72,1.14,12.22,1,NONE,Morning,1799,3,7.8,86,0
71701133,433717,212996,2025-08-19 08:12:01,Restock,3332,161,12.68,73,39,2.4,52.87,1,NONE,Morning,4992,4,29.9,21,0
92969063,750122,235321,2024-05-22 02:07:37,Pick,2215,102,0.11,89,83,3.2,4.08,1,NONE,Afternoon,2958,3,6.7,45,0
40714997,365277,211550,2024-01-22 13:05:10,Transport,1119,198,52.16,60,51,2.3,81.58,1,NONE,Night,2466,3,11.9,63,0
77042042,371360,209263,2026-01-07 07:54:03,Charge,22,93,49.17,98,48,1.78,3.16,1,NONE,Afternoon,1393,3,6.6,57,2
18287682,695724,209263,2025-06-24 06:59:52,Transport,1332,61,128.43,91,90,2.68,29.66,0,LOW_BAT,Night,8627,1,31.5,72,1
57485669,504424,205716,2023-06-16 09:30:35,Pick,1149,96,13.7,84,81,1.11,12.88,1,NONE,Morning,6609,3,29.1,81,0
36158533,745728,227013,2023-06-28 02:26:53,Transport,1619,60,47.81,84,80,2.37,29.68,1,E004,Morning,4177,5,37.3,72,0
94482587,270524,221982,2023-01-03 14:23:51,Restock,714,66,65.91,29,0,1.82,1.67,1,E004,Morning,3407,4,34.7,57,0
49253648,133671,217505,2024-11-12 20:11:39,Place,1933,90,2.94,79,38,2.18,12.67,1,NONE,Morning,2119,4,8.7,30,0
28860910,397176,235198,2024-03-07 08:17:53,Pick,1889,51,65.1,95,54,1.77,4.87,0,NONE,Morning,6260,2,30.7,36,0
16957878,491694,210770,2024-04-01 02:34:08,Pick,2602,6,31.18,43,2,1.51,7.73,0,E002,Afternoon,7628,3,38.1,27,0
21410250,598631,242832,2024-09-11 10:15:24,Place,2154,53,73.86,85,82,0.28,44.74,1,NONE,Afternoon,7824,4,5.0,22,0
48846314,262631,205716,2024-10-17 16:19:40,Pick,2612,6,26.4,48,28,2.21,43.5,1,NONE,Morning,6829,1,9.6,57,0
