log_id,robot_id,technician_id,maintenance_date,maintenance_type,duration_hours,parts_replaced,labor_cost_usd,parts_cost_usd,total_cost_usd,downtime_hours,priority,completion_status,fault_code,work_order_id,scheduled_flag,warehouse_id,next_maintenance_date,recurrence_count,inspection_passed
83253107,253533,359828,2026-01-09,Predictive,5.55,Motor,1115.46,28.57,1144.03,0.2,Medium,Escalated,FC000,6278580,0,1000,2026-07-11,5,1
40103008,282126,195735,2025-12-26,Preventive,9.9,Motor,933.84,270.82,1204.66,10.76,Critical,Completed,FC505,9965086,1,1000,2026-06-30,4,1
31358203,279917,458852,2025-12-05,Corrective,11.86,Motor,471.69,140.4,612.09,5.59,Medium,Completed,FC000,8719392,0,1010,2026-04-09,6,1
61043349,264294,184596,2025-04-01,Preventive,3.02,Battery,443.35,203.1,646.45,6.28,Medium,Completed,FC404,1328671,0,1015,2025-06-02,0,0
18998523,237080,327808,2024-09-22,Corrective,22.93,Motor,586.5,117.19,703.69,5.04,High,Completed,FC101,1955309,1,1014,2025-04-18,5,0
87180210,244916,257309,2024-05-18,Corrective,18.75,Sensor,699.51,37.58,737.09,2.56,High,Completed,FC000,9019761,1,1000,2025-03-11,3,0
82048228,348893,685226,2024-03-07,Preventive,21.91,Sensor,648.28,17.01,665.29,1.98,Medium,Escalated,FC000,2678540,0,1018,2024-07-31,2,1
97662256,214819,664912,2025-09-26,Corrective,21.06,Battery,630.26,57.95,688.21,4.54,High,Completed,FC000,3488035,1,1004,2026-01-14,2,1
26718039,378959,137508,2025-07-28,Preventive,15.68,Motor,1170.79,21.85,1192.64,0.54,Medium,Completed,FC101,3600205,1,1007,2026-07-24,0,0
23222722,371360,370037,2026-01-09,Preventive,7.33,Sensor,344.58,707.28,1051.86,7.04,Critical,Escalated,FC505,8440834,1,1014,2026-11-30,4,1
64694729,393242,633019,2023-12-16,Corrective,11.39,Cable,643.52,203.33,846.85,1.85,High,Completed,FC000,4011823,1,1011,2024-03-13,6,0
86903186,339282,350969,2025-06-19,Predictive,7.85,Motor,333.24,44.62,377.86,3.84,Low,Completed,FC202,4450709,0,1019,2026-05-08,0,0
40802437,476339,500242,2024-11-13,Preventive,6.78,Battery,678.92,311.78,990.7,5.82,Critical,Completed,FC000,9940458,1,1019,2024-12-15,6,0
16454151,353110,650397,2025-10-10,Preventive,1.24,Battery,836.92,45.44,882.36,1.91,Medium,Completed,FC000,9627836,1,1008,2026-04-16,0,1
52904253,497050,481767,2025-04-02,Preventive,15.33,Sensor,316.6,149.82,466.42,3.13,Medium,Completed,FC202,3689039,0,1014,2026-01-21,6,1
39760046,365277,319559,2026-02-22,Inspection,13.03,Motor,244.81,257.54,502.35,7.0,High,Completed,FC000,7998863,0,1003,2026-10-20,0,1
10215614,474226,619955,2025-07-16,Inspection,6.66,Battery,353.89,46.28,400.17,7.15,High,Completed,FC000,6117018,1,1014,2025-11-15,0,1
71799946,281322,215148,2023-07-26,Corrective,22.44,Motor,549.21,213.21,762.42,5.97,Medium,Completed,FC000,3735849,0,1004,2024-06-23,4,0
63039929,304218,427105,2024-03-20,Inspection,10.74,Sensor,976.6,56.69,1033.29,6.93,Medium,In Progress,FC505,6858760,1,1011,2024-05-04,1,0
38933126,349083,144208,2025-02-22,Preventive,6.28,Sensor,1098.0,363.74,1461.74,24.95,Low,In Progress,FC000,4825220,0,1008,2026-02-07,2,1
73400520,225817,172376,2024-10-27,Preventive,16.62,,253.04,186.4,439.44,0.57,Low,Completed,FC303,2651680,0,1003,2025-02-20,1,1
97867253,371360,651637,2025-06-27,Corrective,5.39,Sensor,374.12,1.73,375.85,3.18,Low,Pending,FC000,1978968,0,1002,2026-04-20,0,1
35121128,244619,619955,2026-02-08,Preventive,8.61,Battery,687.25,260.8,948.05,2.38,Critical,Completed,FC000,1909200,0,1009,2026-10-05,2,0
25180407,429636,533794,2024-01-22,Predictive,13.81,Battery,660.18,473.95,1134.13,1.59,High,Completed,FC505,6996431,1,1002,2024-05-11,4,1
51961647,448730,651637,2024-04-30,Predictive,23.67,,372.04,2.38,374.42,5.19,Medium,Completed,FC101,2205480,1,1005,2025-01-24,7,1
53635584,339282,386561,2025-04-28,Predictive,12.52,Wheel,471.36,105.16,576.52,14.74,Low,Completed,FC101,5153177,0,1009,2025-07-27,2,1
61328720,312809,395686,2026-02-06,Corrective,6.28,Frame,257.71,69.25,326.96,2.04,High,Completed,FC303,9207897,0,1004,2027-02-03,0,1
66993644,429978,327808,2025-03-27,Corrective,2.46,Motor,762.57,73.55,836.12,0.49,High,Completed,FC000,3802712,1,1007,2025-11-22,2,1
68132707,348262,487095,2024-02-03,Preventive,14.45,,322.45,410.64,733.09,5.27,High,Completed,FC202,5141518,1,1011,2025-01-07,0,1
49460991,495019,274841,2023-11-07,Corrective,10.29,Cable,1081.62,101.69,1183.31,10.75,Medium,Completed,FC202,7977072,1,1014,2024-09-06,0,1
31238377,250275,286828,2024-06-27,Corrective,15.1,Wheel,878.96,100.96,979.92,1.99,Medium,Completed,FC101,4700218,1,1008,2025-01-13,6,1
52495356,282126,171298,2023-03-01,Preventive,8.63,Gripper,826.9,14.38,841.28,0.44,High,Completed,FC000,6371130,0,1016,2024-02-17,6,1
17776915,262631,500242,2026-01-23,Predictive,2.83,Battery,548.77,91.17,639.94,7.21,Medium,Pending,FC000,6771654,0,1011,2026-06-05,3,1
52417446,206205,535226,2025-01-24,Preventive,16.19,Sensor,869.03,4.78,873.81,3.65,Medium,Completed,FC303,6390758,0,1000,2025-08-03,1,1
