reading_id,sensor_id,robot_id,timestamp,reading_type,value,unit,threshold_min,threshold_max,alert_triggered,alert_level,battery_level_pct,signal_strength_dbm,location_x_m,location_y_m,floor_level,zone_id,status_code,calibration_offset,packet_loss_pct
10406651,764863,307192,2025-01-30 04:06:34,Torque,56.8377,m,32.44,84.42,1,Warning,84,-23,91.77,60.9,2,216408,TIMEOUT,-0.1467,1.87
48976331,759129,216929,2024-05-25 15:04:40,Distance,59.8946,°C,37.07,89.56,1,Info,87,-67,102.59,134.76,2,273796,ERR,0.1641,0.19
52178192,704246,330368,2023-09-24 03:50:25,Current,86.5879,m,72.44,99.69,1,Critical,46,-23,37.81,102.72,2,237363,TIMEOUT,-0.5634,0.56
98529575,767074,337172,2026-04-17 13:15:06,Position,60.0829,deg,32.57,81.28,1,Info,16,-39,31.56,125.62,3,208059,ERR,-0.5287,0.92
68067069,709850,261510,2025-10-07 00:42:22,Temperature,32.6645,g,17.65,61.59,1,Warning,85,-37,18.15,108.79,2,205969,WARN,-0.2307,5.0
83601496,744453,249592,2024-03-02 03:36:40,Distance,29.2858,g,3.0,45.52,0,,68,-57,178.3,93.69,1,267955,WARN,0.4288,4.95
92212215,767723,226224,2025-07-11 05:55:06,Pressure,30.2557,g,0.55,50.4,1,Info,11,-55,16.67,64.94,2,232480,OK,0.0207,2.49
99963803,770058,226224,2023-08-25 20:58:57,Vibration,74.6496,m/s,62.84,100.64,0,,73,-31,81.18,61.39,2,209294,ERR,-0.0585,0.5
82319195,716385,314889,2025-05-09 22:24:01,Distance,26.4941,m,1.8,51.18,0,,33,-23,71.62,46.18,1,209263,ERR,-0.3755,4.02
92849937,757925,359495,2024-12-15 02:54:41,Temperature,37.6681,lux,25.09,60.47,1,Info,84,-46,164.76,89.76,3,244872,ERR,0.1923,0.56
55827039,766937,335025,2024-01-27 10:23:41,Speed,79.6055,m,54.07,107.71,0,,70,-49,12.69,14.57,1,225644,OK,-0.6319,0.72
23235853,706571,197718,2024-01-21 15:35:04,Speed,77.1697,lux,48.69,96.76,0,,5,-59,175.26,119.73,3,215159,ERR,0.3314,0.77
37418767,746514,264294,2023-06-30 15:16:56,Temperature,60.0812,Pa,35.93,76.77,0,,72,-38,154.67,39.37,3,275130,CALIB,-0.4119,4.07
68723239,700108,244619,2024-10-15 00:50:46,Distance,50.3447,°C,34.42,63.13,0,,16,-66,173.75,75.6,2,261589,WARN,0.4754,2.97
42064296,768428,312809,2024-07-11 01:03:29,Temperature,16.3068,m/s,-10.26,39.68,0,,78,-23,88.17,82.14,3,221982,ERR,0.2249,0.11
35106172,754120,248146,2026-03-24 08:07:46,Acceleration,41.2263,°C,14.98,58.68,1,Warning,65,-63,159.76,134.89,1,210770,TIMEOUT,-0.2122,0.07
22839391,708643,236348,2026-03-19 02:29:19,Position,82.6234,A,54.53,101.0,1,Info,46,-69,69.75,126.18,3,254320,WARN,0.3038,0.8
30967581,708643,340277,2023-02-24 04:58:25,Speed,57.4484,°C,28.46,82.0,0,,75,-44,124.22,35.88,1,260774,OK,0.4778,1.55
63482983,753740,335025,2023-01-24 17:44:53,Speed,53.7942,Nm,25.05,81.1,0,,71,-72,81.65,110.31,1,262255,OK,-0.3209,4.81
67339571,734676,320932,2025-02-11 07:44:58,Position,36.9775,g,21.34,59.38,1,Info,15,-54,47.04,133.39,2,273796,OK,-0.553,0.08
52844124,714934,245144,2025-04-19 16:22:45,Pressure,62.2814,m/s,46.04,91.23,1,Info,51,-54,154.24,121.39,3,249237,TIMEOUT,0.263,1.29
10893608,733485,206205,2025-01-02 00:35:02,Distance,51.9202,m/s,30.1,81.83,1,Warning,48,-55,178.53,61.27,2,220452,CALIB,-0.9039,1.21
11752325,708230,369993,2023-07-18 20:59:57,Acceleration,46.2818,A,34.71,56.72,0,,41,-28,140.15,3.31,1,216408,ERR,-0.1594,9.62
99421731,759129,195528,2024-08-04 07:34:56,Temperature,54.6651,deg,44.4,78.28,1,Info,81,-71,38.88,103.94,1,268034,OK,0.2712,2.87
94082637,730282,337172,2023-01-08 18:20:03,Current,34.5943,deg,10.52,55.43,1,Info,95,-65,56.19,60.21,3,240291,WARN,-0.6233,2.0
93800910,731369,249592,2023-01-08 03:10:26,Luminosity,28.3894,lux,13.01,51.56,0,,30,-53,152.63,37.87,2,211550,TIMEOUT,-0.0762,0.5
53358716,732627,279917,2024-08-07 18:09:45,Current,26.8533,Nm,16.85,54.07,1,Info,12,-42,29.77,14.63,2,207246,OK,0.2664,0.97
17784888,746514,259095,2025-05-23 20:59:01,Vibration,71.3777,deg,46.07,99.79,1,Warning,63,-58,100.24,112.76,1,266246,WARN,-0.058,2.53
88181404,738035,365277,2023-05-15 08:53:56,Distance,32.7433,m/s,10.89,52.96,1,Warning,49,-68,4.86,116.54,3,260142,TIMEOUT,0.0212,4.48
27191353,720279,353245,2023-08-12 07:47:46,Temperature,55.6303,m/s²,26.04,72.47,0,,93,-64,22.56,109.75,2,261101,WARN,0.9064,0.21
55998208,748504,257666,2026-03-28 17:04:06,Distance,101.1494,°C,82.42,111.73,0,,96,-40,94.5,91.35,3,251061,ERR,0.0497,2.18
72658777,737981,349083,2026-04-06 10:41:47,Torque,84.3417,g,71.23,94.45,1,Critical,93,-62,186.1,146.29,3,249237,TIMEOUT,0.1001,1.74
14711320,750594,262631,2023-10-15 08:19:37,Distance,50.2804,A,23.91,74.29,0,,12,-83,51.84,137.6,1,262255,CALIB,-0.0514,4.19
40861893,768261,259095,2024-09-18 00:29:35,Torque,45.071,m/s²,16.89,67.06,0,,6,-37,190.01,79.1,2,205969,CALIB,0.1565,0.44
15639912,767723,206205,2024-08-20 17:57:34,Position,58.1918,Nm,28.42,69.46,1,Info,86,-50,177.33,112.78,2,217119,ERR,0.0024,0.76
47027853,741430,307192,2024-08-26 00:39:51,Torque,28.8776,m,16.14,54.63,0,,26,-24,95.61,55.09,1,251061,WARN,0.681,0.18
80475582,720279,203076,2025-02-25 01:24:07,Temperature,45.4507,g,35.05,66.81,1,Warning,62,-68,86.86,48.59,1,242742,WARN,0.7467,3.93
48944996,770836,261510,2025-11-06 20:42:38,Distance,63.5286,g,36.38,77.1,0,,29,-31,64.51,29.57,3,259083,WARN,0.3179,1.42
26200620,725804,206986,2024-11-29 10:33:58,Torque,50.705,g,38.84,62.55,0,,30,-67,68.45,122.86,2,209263,CALIB,0.1857,0.42
82329541,716051,216929,2026-01-27 14:59:43,Acceleration,47.9334,A,32.58,75.98,1,Info,68,-40,172.16,17.59,1,254320,TIMEOUT,-0.0108,0.86
47497672,718187,349409,2024-05-05 23:01:01,Distance,59.8376,m/s,47.93,82.32,0,,65,-61,151.47,118.82,2,217505,TIMEOUT,1.0226,2.3
76812675,726449,345017,2025-04-23 10:27:01,Temperature,77.2751,m,54.66,94.99,1,Warning,64,-54,143.61,27.72,3,215159,TIMEOUT,-0.2143,5.69
54214644,770388,353110,2025-08-30 04:54:10,Torque,77.9893,m/s²,50.47,90.3,1,Warning,95,-82,2.83,24.35,1,232480,OK,0.464,0.31
41755763,769549,314889,2023-12-20 21:50:08,Temperature,79.3391,m/s,55.78,90.15,0,,77,-67,45.01,139.68,1,260774,TIMEOUT,0.8282,4.19
17727359,760178,282126,2024-03-25 06:46:39,Temperature,66.896,°C,51.61,76.99,1,Info,44,-42,137.99,108.55,3,238978,ERR,0.6276,0.73
73121088,745247,275174,2024-06-19 17:18:12,Position,28.4901,Nm,17.86,41.6,1,Critical,64,-28,142.18,9.94,1,271969,OK,0.4988,1.03
12109943,739065,244916,2025-03-06 06:20:32,Acceleration,2.347,m,-24.52,17.15,1,Info,80,-58,96.34,103.42,2,262423,CALIB,-0.5109,2.25
55417358,737380,270524,2024-04-15 00:45:26,Speed,68.1271,°C,39.19,90.63,1,Warning,38,-30,193.62,137.02,2,244872,TIMEOUT,0.4158,1.17
72700310,756528,279917,2025-07-18 06:38:37,Speed,49.7291,deg,34.66,60.22,0,,22,-82,33.33,128.87,1,270995,OK,0.1042,0.03
58461789,768928,314889,2023-06-24 12:44:15,Speed,88.8828,g,69.33,110.22,0,,91,-34,61.12,68.12,2,225644,TIMEOUT,-0.0483,1.77
44119190,737095,270524,2025-05-19 04:38:27,Position,25.5102,°C,8.83,43.21,0,,64,-25,29.21,5.25,2,240291,CALIB,0.1675,2.27
54105286,725778,236348,2024-12-16 11:07:18,Acceleration,40.1909,Nm,22.14,56.8,0,,52,-37,156.88,54.61,1,217505,WARN,0.4531,0.89
28624553,704246,269402,2024-03-11 17:34:35,Distance,71.6232,m,43.66,100.11,0,,46,-87,193.11,80.37,2,267955,WARN,0.0076,1.19
73313500,725102,245144,2025-06-06 11:20:44,Pressure,33.5265,m/s²,10.17,60.84,1,Info,50,-88,53.17,140.26,3,210830,ERR,0.0522,2.52
89290744,769251,214819,2025-01-13 16:28:54,Acceleration,29.361,°C,16.36,54.28,0,,86,-24,111.73,15.37,2,227013,ERR,-0.0229,0.06
90481729,718381,361825,2024-08-29 21:04:54,Speed,35.3114,A,24.04,53.76,0,,70,-21,72.73,145.82,3,242832,OK,-0.1877,4.96
30900078,740242,244916,2024-08-16 04:14:39,Acceleration,76.9097,lux,63.47,92.51,0,,57,-31,73.24,116.26,1,221982,ERR,-0.0774,0.1
52527792,750180,345017,2023-01-16 22:10:46,Temperature,53.7174,g,32.58,67.69,0,,14,-39,99.59,108.08,1,268432,OK,0.6995,1.04
41488768,754256,187503,2025-01-12 21:12:42,Torque,71.3938,°C,48.07,91.14,0,,49,-50,171.65,35.39,3,209263,TIMEOUT,0.1811,0.91
37127305,747714,364234,2023-05-21 01:44:10,Speed,83.8875,m/s²,71.46,104.75,1,Info,47,-32,24.02,44.91,2,246274,WARN,-0.1906,0.58
36301894,742554,262631,2025-01-24 16:24:12,Torque,81.3177,deg,55.71,92.68,0,,90,-40,66.54,145.22,1,267024,WARN,-0.0962,1.22
