task_id,robot_id,zone_id,assigned_at,started_at,completed_at,task_type,priority,status,items_count,distance_m,time_taken_min,efficiency_score,reassignment_count,order_id,batch_id,aisle_number,rack_level,weight_total_kg,error_flag
25182667,443665,241320,2026-03-21 04:28:22,2026-03-21 05:50:22,2026-03-21 09:42:22,Cycle Count,1,Completed,127,7.03,232,0.428,0,11047780,9264540,16,5,55.15,0
58233363,404891,242832,2024-01-17 02:19:57,2024-01-17 02:34:57,2024-01-17 09:08:57,Cycle Count,2,Completed,497,89.26,394,0.993,0,91180715,1575017,45,6,49.08,1
80898095,429174,222099,2024-08-06 18:21:16,2024-08-06 19:05:16,2024-08-07 01:02:16,Transfer,3,Completed,153,50.51,357,0.437,0,39480475,5097104,6,3,52.81,0
76200147,453225,239090,2023-12-30 13:12:04,2023-12-30 14:19:04,2023-12-30 15:05:04,Transfer,3,Completed,463,204.78,46,0.821,0,75000132,4262929,15,5,20.52,0
23534798,433576,235198,2024-08-17 06:46:06,2024-08-17 08:33:06,2024-08-17 15:03:06,Pickup,3,Completed,33,31.93,390,0.376,2,25975203,3747192,40,2,0.8,0
54413088,475581,249237,2023-09-22 11:36:48,2023-09-22 12:17:48,2023-09-22 20:12:48,Cycle Count,4,Partial,185,7.42,475,0.962,0,90625212,2019225,43,5,45.95,0
52360690,425202,43916,2025-06-17 22:32:08,2025-06-18 00:20:08,2025-06-18 02:39:08,Transfer,4,Completed,310,182.11,139,0.549,1,43368985,7645866,31,5,9.23,0
67220396,417035,205980,2023-11-17 04:34:57,2023-11-17 06:17:57,2023-11-17 13:13:57,Cycle Count,3,Partial,302,257.32,416,0.469,0,13149175,6046410,29,6,1.02,0
70488658,439871,241320,2024-05-21 00:14:45,2024-05-21 01:12:45,2024-05-21 06:26:45,Consolidate,4,Partial,439,118.8,314,0.723,1,60776525,3604252,30,2,90.27,0
94781773,472285,232480,2024-03-25 07:15:12,2024-03-25 07:47:12,2024-03-25 15:21:12,Consolidate,3,Completed,62,65.93,454,0.615,1,31705854,7479781,35,7,10.53,0
14144995,413972,227013,2023-05-09 05:46:01,2023-05-09 07:12:01,2023-05-09 14:07:01,Replenish,2,Completed,420,31.18,415,0.358,0,71203979,1750531,5,4,6.2,0
94228041,489445,232907,2023-05-07 04:28:08,2023-05-07 05:28:08,2023-05-07 06:31:08,Sort,2,Failed,358,71.3,63,0.4,0,73869364,2138572,37,7,2.21,0
14518404,436371,209263,2025-02-20 12:22:56,2025-02-20 12:44:56,2025-02-20 13:52:56,Pickup,2,Completed,84,68.79,68,0.864,0,14954312,1618923,20,2,58.54,0
73096058,489596,208994,2024-02-13 23:53:23,2024-02-14 00:36:23,2024-02-14 06:07:23,Dropoff,4,Completed,313,34.8,331,0.598,0,38729500,7170708,2,4,2.69,0
27944826,483879,238978,2025-10-30 04:55:28,2025-10-30 05:38:28,2025-10-30 09:08:28,Dropoff,2,Completed,300,8.88,210,0.929,0,86666489,8747394,5,7,12.06,0
96002848,463487,227057,2023-01-13 07:46:44,2023-01-13 09:17:44,2023-01-13 15:24:44,Replenish,1,Failed,54,25.48,367,0.729,0,44166310,1680213,20,4,18.73,1
91785060,480297,249797,2023-02-11 20:39:19,2023-02-11 20:53:19,2023-02-11 22:27:19,Sort,3,Completed,112,151.49,94,0.848,0,77270637,3419190,12,2,11.92,0
37204357,497132,240291,2025-11-14 17:06:49,2025-11-14 17:43:49,2025-11-14 19:00:49,Pickup,5,Completed,281,90.37,77,0.852,0,96426223,5258984,15,4,14.81,0
72614509,489445,219630,2023-09-28 23:10:09,2023-09-29 00:39:09,2023-09-29 01:33:09,Sort,3,Completed,132,83.65,54,0.414,0,37490443,5012960,13,4,2.37,0
68996734,430610,217119,2023-11-15 21:55:23,2023-11-15 22:06:23,2023-11-16 04:53:23,Pickup,5,Partial,244,23.24,407,0.571,0,42913320,2446558,39,2,14.11,0
70665661,407078,208059,2023-05-12 11:50:53,2023-05-12 12:19:53,2023-05-12 12:46:53,Putaway,3,In Progress,344,5.95,27,0.617,0,67928247,1851072,10,4,2.17,0
27639974,474583,210830,2023-02-16 00:26:05,2023-02-16 02:03:05,2023-02-16 06:24:05,Replenish,3,In Progress,321,68.73,261,0.354,1,12010398,9749154,36,4,6.95,0
73213009,441855,215159,2024-06-09 00:31:24,2024-06-09 01:52:24,2024-06-09 06:38:24,Consolidate,4,Completed,44,85.9,286,0.701,1,88739105,4560585,28,1,5.44,0
88409087,403798,237363,2024-04-09 15:57:08,2024-04-09 17:45:08,2024-04-09 22:47:08,Consolidate,2,Completed,306,32.83,302,0.765,0,51581277,5464908,3,6,12.06,0
51753387,405424,212996,2023-08-31 03:43:13,2023-08-31 03:44:13,2023-08-31 10:30:13,Dropoff,4,Completed,223,12.09,406,0.52,1,21145095,8779141,20,1,29.57,0
95162910,413972,240601,2023-10-18 03:00:14,2023-10-18 03:19:14,2023-10-18 05:25:14,Putaway,3,Completed,180,54.53,126,0.336,1,60249493,4049936,44,6,18.78,0
35525482,469113,220452,2025-05-08 02:12:26,2025-05-08 03:51:26,2025-05-08 08:53:26,Replenish,2,Completed,196,220.7,302,0.365,0,56291544,1383033,38,6,21.77,1
63794885,474241,212996,2025-09-08 23:24:29,2025-09-09 00:33:29,2025-09-09 02:52:29,Pickup,4,Completed,426,22.18,139,0.797,0,40593055,2209133,26,7,21.75,0
22256667,425869,235212,2024-03-26 09:35:13,2024-03-26 10:55:13,2024-03-26 13:40:13,Dropoff,4,Completed,446,34.34,165,0.598,4,95006951,9550727,25,7,15.36,0
93493803,443665,220452,2024-03-31 15:30:41,2024-03-31 16:54:41,2024-03-31 20:01:41,Pickup,4,Failed,217,64.95,187,0.796,0,64911350,8785249,10,5,40.1,0
83067824,496760,238978,2025-10-20 11:13:19,2025-10-20 12:37:19,2025-10-20 17:24:19,Cycle Count,4,In Progress,49,20.19,287,0.522,3,56275984,3980179,34,7,14.48,0
40308492,408999,220452,2024-03-23 02:23:02,2024-03-23 03:22:02,2024-03-23 10:27:02,Consolidate,1,Completed,38,14.53,425,0.418,0,51570747,1258186,24,3,19.53,0
61591345,458126,246274,2025-01-30 19:05:01,2025-01-30 20:44:01,2025-01-31 01:16:01,Sort,4,Completed,356,38.98,272,0.843,0,83957564,6720257,29,5,55.98,0
24969616,486697,245938,2023-12-25 13:52:37,2023-12-25 15:00:37,2023-12-25 21:07:37,Sort,4,Completed,250,63.37,367,0.417,0,58224310,2565200,46,4,28.39,0
