movement_id,product_id,robot_id,movement_date,movement_type,quantity,from_zone,to_zone,from_rack,to_rack,duration_min,batch_number,order_id,weight_kg,condition_flag,scan_count,error_flag,temperature_at_move_c,operator_id,unit_value_usd
21553438,556871,668904,2025-07-06 19:36:44,Return,21,Zone-E,Zone-A,R43-04,R49-08,91,5822577,33790634,3.06,Good,4,0,7.5,9574,8.3
91882130,539031,628726,2023-09-28 08:33:24,Outbound,224,Zone-G,Zone-G,R15-06,R11-08,31,3749326,58106073,10.41,Good,1,0,34.6,6091,44.54
24511753,532816,631871,2024-05-21 10:04:32,Adjustment,114,Zone-F,Zone-A,R30-03,R16-03,51,9797936,90615126,0.57,Good,3,0,27.5,2669,67.16
19973679,506169,606283,2023-10-29 13:29:12,Internal Transfer,654,Zone-G,Zone-C,R25-06,R35-09,113,8267800,76799306,53.52,Damaged,4,0,4.1,7101,4.22
55386398,515845,608092,2026-02-07 11:08:36,Outbound,965,Zone-G,Zone-D,R36-08,R11-09,9,7856024,10023957,18.96,Good,1,1,33.3,8899,60.44
34434742,510163,610142,2023-09-18 21:02:10,Replenishment,93,Zone-G,Zone-E,R28-09,R11-02,4,4033302,32927175,11.27,Good,3,0,25.8,2700,18.92
21621423,539757,628726,2023-10-28 16:54:53,Outbound,761,Zone-D,Zone-H,R34-06,R20-08,32,7705270,75452078,28.19,Good,2,0,10.5,1818,88.41
10756861,579200,633675,2023-01-05 20:45:32,Inbound,154,Zone-D,Zone-H,R05-09,R46-07,49,5592259,41486198,7.87,Good,4,1,4.8,8286,4.09
63039705,551399,620941,2025-09-14 07:38:50,Internal Transfer,486,Zone-B,Zone-E,R15-06,R13-08,25,9414632,29513894,16.73,Good,1,1,6.6,1642,0.55
67428560,536263,685359,2023-06-24 21:49:08,Inbound,503,Zone-H,Zone-F,R12-08,R28-04,5,6779307,45270697,3.5,Good,2,0,19.9,5659,9.91
10898627,527988,657230,2024-12-15 03:32:15,Outbound,948,Zone-B,Zone-B,R19-07,R11-06,34,7313620,13528319,1.58,Good,4,0,9.4,6986,25.0
89804761,565783,680166,2024-01-20 05:45:59,Internal Transfer,267,Zone-D,Zone-G,R26-03,R20-03,68,1398668,17081412,6.96,Good,5,0,-3.7,3006,77.38
28546094,567638,695477,2025-11-08 11:42:51,Inbound,477,Zone-H,Zone-G,R31-04,R34-06,69,8780293,42622350,4.73,Expired,1,1,-3.4,7254,4.74
76348400,562196,680326,2023-04-12 15:35:37,Adjustment,103,Zone-C,Zone-A,R03-04,R47-07,60,7599503,59488490,16.1,Damaged,4,0,10.3,4867,15.58
96980955,576507,657230,2024-02-05 18:21:48,Inbound,499,Zone-G,Zone-B,R39-05,R11-09,27,4579418,16953976,12.99,Good,5,0,29.0,7038,9.83
14906593,548064,604150,2024-02-21 12:49:41,Adjustment,20,Zone-G,Zone-H,R32-06,R17-07,8,4047033,39906451,4.72,Good,5,1,28.2,7196,23.67
17523659,578635,699267,2025-04-05 01:32:36,Inbound,288,Zone-G,Zone-F,R09-09,R29-06,119,6639917,26045213,25.06,Good,5,1,-3.8,4787,20.77
38683757,518669,639675,2024-08-04 05:03:13,Internal Transfer,486,Zone-D,Zone-F,R03-03,R48-03,5,7099714,10537251,6.27,Good,4,0,23.7,5432,9.78
11221017,504471,621159,2026-01-28 23:00:24,Outbound,580,Zone-A,Zone-E,R17-05,R26-04,5,3584823,32736166,7.09,Good,5,0,2.9,6782,21.93
97689503,574596,616596,2024-10-10 07:55:44,Internal Transfer,650,Zone-E,Zone-A,R15-09,R08-07,44,5634812,53512699,10.1,Good,4,0,15.2,6339,79.74
67968263,571113,621159,2023-07-29 17:42:16,Internal Transfer,817,Zone-H,Zone-C,R28-05,R47-09,116,6207708,84236748,32.14,Damaged,4,0,-1.0,6714,16.12
44678672,500521,625254,2025-07-29 13:49:32,Inbound,651,Zone-D,Zone-G,R41-09,R18-04,65,5767290,25254047,11.54,Good,1,0,0.2,3144,38.8
61618420,507594,678222,2024-11-20 16:40:12,Outbound,896,Zone-C,Zone-G,R40-08,R31-03,15,9257610,46297123,12.07,Good,5,0,4.2,6249,31.35
47127898,530338,678222,2026-01-08 06:55:51,Return,670,Zone-D,Zone-C,R09-09,R36-05,34,3221778,57452915,0.71,Quarantine,4,0,1.5,2692,26.87
81845505,575071,616596,2025-11-12 21:49:20,Outbound,889,Zone-H,Zone-C,R36-05,R10-06,88,2394509,85298533,126.37,Good,4,0,19.1,8334,19.11
14638084,515587,651059,2025-03-29 08:43:04,Inbound,906,Zone-E,Zone-E,R04-08,R09-04,51,6786738,66450915,11.62,Good,5,0,28.1,3330,125.91
82377193,527357,637907,2025-06-23 15:39:11,Replenishment,798,Zone-G,Zone-H,R08-08,R26-08,33,6615511,45400655,70.34,Good,3,0,23.4,6569,12.52
37122652,519123,661727,2024-01-10 07:55:22,Internal Transfer,973,Zone-H,Zone-B,R39-02,R16-03,1,7189937,98171090,0.61,Damaged,3,0,30.2,9980,15.91
54647292,506576,607530,2025-01-01 09:40:25,Outbound,422,Zone-C,Zone-H,R06-02,R03-01,92,3821466,10257467,1.23,Good,1,0,8.3,6257,10.55
58768215,533735,600782,2024-06-03 22:45:22,Replenishment,203,Zone-H,Zone-E,R06-02,R11-07,97,8444953,18871173,14.46,Good,1,0,8.9,1642,5.0
93024462,506808,675518,2023-02-06 00:04:39,Outbound,36,Zone-F,Zone-A,R37-06,R18-09,17,7201649,68081520,51.03,Good,1,0,21.9,5597,91.02
75618244,522377,628500,2025-11-25 06:30:18,Replenishment,268,Zone-F,Zone-A,R06-05,R48-09,27,6133818,29435915,4.69,Good,1,0,22.0,9274,19.17
77722013,565317,680166,2024-08-22 12:09:37,Outbound,276,Zone-C,Zone-G,R46-05,R49-05,13,8573876,44880361,5.97,Good,2,0,18.3,7404,20.92
20446462,571070,688889,2023-02-02 06:15:05,Outbound,280,Zone-G,Zone-F,R43-06,R49-09,110,7669813,61612069,21.28,Quarantine,3,0,28.3,2928,45.34
73016668,500557,680166,2026-01-05 23:38:16,Outbound,12,Zone-H,Zone-G,R12-04,R41-06,22,9632336,70150191,1.96,Good,3,1,37.0,6988,68.67
70511951,509907,628516,2023-08-11 21:55:03,Replenishment,541,Zone-A,Zone-G,R29-05,R25-01,77,6613401,90590340,20.0,Good,4,0,36.2,2227,82.99
