reading_id,sensor_id,robot_id,timestamp,reading_type,value,unit,threshold_min,threshold_max,alert_triggered,alert_level,battery_level_pct,signal_strength_dbm,location_x_m,location_y_m,floor_level,zone_id,status_code,calibration_offset,packet_loss_pct
10406651,764863,856821,2025-01-30 04:06:34,Torque,56.8377,m,32.44,84.42,0,Warning,84,-23,91.77,60.9,2,298973,TIMEOUT,-0.1467,1.87
48976331,759129,813510,2024-05-25 15:04:40,Distance,59.8946,°C,37.07,89.56,0,Info,87,-67,102.59,134.76,2,248488,ERR,0.1641,0.19
52178192,704246,867256,2023-09-24 03:50:25,Current,86.5879,m,72.44,99.69,0,Critical,46,-23,37.81,102.72,2,289860,TIMEOUT,-0.5634,0.56
98529575,767074,867591,2026-04-17 13:15:06,Position,60.0829,deg,32.57,81.28,0,Info,16,-39,31.56,125.62,3,221171,ERR,-0.5287,0.92
68067069,709850,834687,2025-10-07 00:42:22,Temperature,32.6645,g,17.65,61.59,0,Warning,85,-37,18.15,108.79,2,229610,WARN,-0.2307,5.0
83601496,744453,830588,2024-03-02 03:36:40,Distance,29.2858,g,3.0,45.52,0,None,68,-57,178.3,93.69,1,267587,WARN,0.4288,4.95
92212215,767723,819596,2025-07-11 05:55:06,Pressure,30.2557,g,0.55,50.4,0,Info,11,-55,16.67,64.94,2,258271,OK,0.0207,2.49
99963803,770058,819596,2023-08-25 20:58:57,Vibration,74.6496,m/s,62.84,100.64,0,None,73,-31,81.18,61.39,2,253365,ERR,-0.0585,0.5
82319195,716385,865277,2025-05-09 22:24:01,Distance,26.4941,m,1.8,51.18,0,None,33,-23,71.62,46.18,1,272044,ERR,-0.3755,4.02
92849937,757925,891194,2024-12-15 02:54:41,Temperature,37.6681,lux,25.09,60.47,0,Info,84,-46,164.76,89.76,3,265661,ERR,0.1923,0.56
55827039,766937,867363,2024-01-27 10:23:41,Speed,79.6055,m,54.07,107.71,0,None,70,-49,12.69,14.57,1,281195,OK,-0.6319,0.72
23235853,706571,805208,2024-01-21 15:35:04,Speed,77.1697,lux,48.69,96.76,0,None,5,-59,175.26,119.73,3,271178,ERR,0.3314,0.77
37418767,746514,838266,2023-06-30 15:16:56,Temperature,60.0812,Pa,35.93,76.77,0,None,72,-38,154.67,39.37,3,251800,CALIB,-0.4119,4.07
68723239,700108,827981,2024-10-15 00:50:46,Distance,50.3447,°C,34.42,63.13,0,None,16,-66,173.75,75.6,2,298495,WARN,0.4754,2.97
42064296,768428,864872,2024-07-11 01:03:29,Temperature,16.3068,m/s,-10.26,39.68,0,None,78,-23,88.17,82.14,3,285459,ERR,0.2249,0.11
35106172,754120,829179,2026-03-24 08:07:46,Acceleration,41.2263,°C,14.98,58.68,0,Warning,65,-63,159.76,134.89,1,258792,TIMEOUT,-0.2122,0.07
22839391,708643,825446,2026-03-19 02:29:19,Position,82.6234,A,54.53,101.0,0,Info,46,-69,69.75,126.18,3,253850,WARN,0.3038,0.8
30967581,708643,870368,2023-02-24 04:58:25,Speed,57.4484,°C,28.46,82.0,0,None,75,-44,124.22,35.88,1,258564,OK,0.4778,1.55
63482983,753740,867363,2023-01-24 17:44:53,Speed,53.7942,Nm,25.05,81.1,0,None,71,-72,81.65,110.31,1,288407,OK,-0.3209,4.81
67339571,734676,866838,2025-02-11 07:44:58,Position,36.9775,g,21.34,59.38,0,Info,15,-54,47.04,133.39,2,203181,OK,-0.553,0.08
52844124,714934,828930,2025-04-19 16:22:45,Pressure,62.2814,m/s,46.04,91.23,0,Info,51,-54,154.24,121.39,3,270608,TIMEOUT,0.263,1.29
10893608,733485,809083,2025-01-02 00:35:02,Distance,51.9202,m/s,30.1,81.83,0,Warning,48,-55,178.53,61.27,2,272164,CALIB,-0.9039,1.21
11752325,708230,897849,2023-07-18 20:59:57,Acceleration,46.2818,A,34.71,56.72,0,None,41,-28,140.15,3.31,1,234330,ERR,-0.1594,9.62
99421731,759129,800372,2024-08-04 07:34:56,Temperature,54.6651,deg,44.4,78.28,0,Info,81,-71,38.88,103.94,1,256866,OK,0.2712,2.87
94082637,730282,867591,2023-01-08 18:20:03,Current,34.5943,deg,10.52,55.43,0,Info,95,-65,56.19,60.21,3,296561,WARN,-0.6233,2.0
93800910,731369,830588,2023-01-08 03:10:26,Luminosity,28.3894,lux,13.01,51.56,0,None,30,-53,152.63,37.87,2,257113,TIMEOUT,-0.0762,0.5
53358716,732627,848130,2024-08-07 18:09:45,Current,26.8533,Nm,16.85,54.07,0,Info,12,-42,29.77,14.63,2,225323,OK,0.2664,0.97
17784888,746514,834675,2025-05-23 20:59:01,Vibration,71.3777,deg,46.07,99.79,0,Warning,63,-58,100.24,112.76,1,210109,WARN,-0.058,2.53
88181404,738035,892723,2023-05-15 08:53:56,Distance,32.7433,m/s,10.89,52.96,0,Warning,49,-68,4.86,116.54,3,210044,TIMEOUT,0.0212,4.48
27191353,720279,882825,2023-08-12 07:47:46,Temperature,55.6303,m/s²,26.04,72.47,0,None,93,-64,22.56,109.75,2,232261,WARN,0.9064,0.21
55998208,748504,834114,2026-03-28 17:04:06,Distance,101.1494,°C,82.42,111.73,0,None,96,-40,94.5,91.35,3,204398,ERR,0.0497,2.18
72658777,737981,878159,2026-04-06 10:41:47,Torque,84.3417,g,71.23,94.45,0,Critical,93,-62,186.1,146.29,3,220765,TIMEOUT,0.1001,1.74
